Name,FY1,FY2,FY3,SO1,SO2,SO3,SO4,JN1,JN2,JN3,SE1,SE2,SE3,SE4
AV,08:07.5,08:01.9,08:01.4,07:47.9,07:37.5,07:34.1,07:27.6,07:41.4,07:33.1,07:23.7,07:49.6,07:48.4,07:43.5,07:38.1
KJ,08:49.3,08:17.6,08:15.0,07:54.5,07:50.3,07:44.1,07:50.6,07:50.5,07:45.7,07:38.0,07:57.0,08:04.5,07:49.4,07:45.2
OL,08:40.9,08:11.0,08:05.0,08:21.3,08:19.4,08:10.6,08:01.9,08:29.8,08:34.3,08:19.7,08:15.5,08:13.7,08:06.6,08:03.0
AL,08:46.5,08:23.0,08:32.0,08:55.1,08:30.0,08:17.1,08:15.6,08:20.1,08:26.7,08:12.6,08:43.1,08:28.1,08:21.9,08:16.9
AS,09:04.9,08:50.1,08:40.1,08:40.2,08:41.2,08:35.6,08:37.7,08:48.3,08:50.6,08:43.5,08:55.7,08:52.4,08:46.0,08:41.9
